Project,Price,Year,Month,Lease,FloorSqm
CAVAN SUITES,682699,2012,12,Freehold,31.0002
CITY LOFT,479698,2011,11,Freehold,33.0003
LOFT @ STEVENS,814498,2013,3,Freehold,33.0003
ESPADA,1.00E+06,2012,4,Freehold,33.0003
SKYSUITES17,654168,2013,5,Freehold,34.0003
SUITES AT BUKIT TIMAH,692009,2013,11,Freehold,35.0003
ESPADA,1.10E+06,2012,5,Freehold,35.0003
THE AXIS,500507,2009,2,Freehold,37.0003
NOTTINGHILL SUITES,717796,2013,12,Freehold,37.0003
VIVACE,858062,2012,3,Leasehold,37.0003
28 RC SUITES,756769,2016,2,Freehold,38.0003
ROBIN RESIDENCES,1.10E+06,2018,1,Freehold,38.0003
WILKIE 80,744695,2010,2,Freehold,39.0003
STURDEE RESIDENCES,784695,2018,5,Leasehold,39.0003
FIFTY-TWO STEVENS,881995,2012,4,Freehold,39.0003
URBAN LOFTS,565034,2010,9,Freehold,40.0003
SUITES AT BUKIT TIMAH,773694,2014,3,Freehold,40.0003
LOFT@HOLLAND,861594,2013,2,Freehold,40.0003
8 BASSEIN,917194,2014,5,Freehold,40.0003
NATURA@HILLVIEW,656593,2014,5,Freehold,41.0003
ILLUMINAIRE ON DEVONSHIRE,824693,2011,5,Freehold,41.0003
VIVACE,979644,2012,4,Leasehold,41.0003
NATURA@HILLVIEW,656893,2014,8,Freehold,42.0003
NATURA@HILLVIEW,703693,2014,10,Freehold,42.0003
CITY SUITES,891693,2015,8,Freehold,42.0003
VIVACE,966693,2011,11,Leasehold,42.0003
TYRWHITT 139,530390,2009,6,Freehold,43.0003
LAUREL TREE,672642,2015,9,Freehold,43.0003
LAUREL TREE,697692,2015,5,Freehold,43.0003
HILLION RESIDENCES,746692,2015,4,Leasehold,43.0003
HILLION RESIDENCES,814692,2015,4,Leasehold,43.0003
LINCOLN SUITES,1.00E+06,2012,1,Freehold,43.0003
ROBIN SUITES,1.20E+06,2015,2,Freehold,43.0003
THE PLAZA,578692,2012,6,Leasehold,44.0003
PARC SOPHIA,783692,2010,7,Freehold,44.0003
PARC SOPHIA,843692,2010,8,Freehold,44.0003
ROBERTSON EDGE,1.00E+06,2014,12,Leasehold,44.0003
ZEDGE,691691,2010,6,Freehold,45.0004
ONE DUSUN RESIDENCES,825591,2014,9,Freehold,45.0004
ONE DUSUN RESIDENCES,943291,2014,9,Freehold,45.0004
VIZ AT HOLLAND,619690,2009,6,Freehold,46.0004
VIZ AT HOLLAND,741690,2010,7,Freehold,46.0004
ESTILO,960591,2009,9,Freehold,46.0004
DEVONSHIRE RESIDENCES,1.30E+06,2013,4,Freehold,46.0004
CITIGATE RESIDENCE,608941,2010,6,Freehold,47.0004
ECO SANCTUARY,739540,2015,1,Leasehold,47.0004
THE HILLIER,839131,2014,2,Leasehold,47.0004
HIGHLINE RESIDENCES,992690,2016,10,Leasehold,47.0004
DEVONSHIRE 12,1.20E+06,2015,8,Freehold,47.0004
DEVONSHIRE RESIDENCES,1.40E+06,2013,5,Freehold,47.0004
THE HILLIER,681120,2014,1,Leasehold,48.0004
KINGSFORD . HILLVIEW PEAK,764689,2017,11,Leasehold,48.0004
KINGSFORD . HILLVIEW PEAK,782689,2017,8,Leasehold,48.0004
THE HILLIER,865876,2014,3,Leasehold,48.0004
VIDA,1.10E+06,2009,6,Freehold,48.0004
VIDA,1.30E+06,2012,12,Freehold,48.0004
MILL POINT,748689,2010,10,Leasehold,49.0004
KINGSFORD . HILLVIEW PEAK,778815,2017,7,Leasehold,49.0004
URBAN LOFTS,801689,2014,10,Freehold,49.0004
ONE DUSUN RESIDENCES,846389,2014,9,Freehold,49.0004
ONE DUSUN RESIDENCES,946089,2014,9,Freehold,49.0004
MILL POINT,1.10E+06,2014,12,Leasehold,49.0004
VIDA,1.30E+06,2011,8,Freehold,49.0004
LIV ON WILKIE,1.40E+06,2015,11,Freehold,49.0004
SUITES @ OWEN,596688,2010,3,Freehold,50.0004
MACKENZIE 88,741056,2009,7,Freehold,50.0004
SUITES @ SHREWSBURY,793688,2012,6,Freehold,50.0004
KAP RESIDENCES,1.00E+06,2015,6,Freehold,50.0004
NOVENA REGENCY,1.30E+06,2015,4,Freehold,50.0004
ROBIN SUITES,1.40E+06,2015,5,Freehold,50.0004
THE HILLIER,735189,2014,1,Leasehold,51.0004
PARC SOPHIA,843687,2010,9,Freehold,51.0004
PARC EMILY,1.10E+06,2012,5,Freehold,51.0004
OUE TWIN PEAKS,1.30E+06,2018,4,Leasehold,51.0004
OUE TWIN PEAKS,1.50E+06,2018,5,Leasehold,51.0004
THE LAURELS,1.80E+06,2012,5,Freehold,51.0004
THE MEZZO,630687,2011,5,Freehold,52.0004
CUBE 8,816887,2012,2,Freehold,52.0004
HERTFORD COLLECTION,873687,2017,4,Freehold,52.0004
MOUNT SOPHIA SUITES,984247,2010,5,Freehold,52.0004
CITYLIGHTS,1.10E+06,2013,10,Leasehold,52.0004
1919,1.20E+06,2014,7,Freehold,52.0004
DUO RESIDENCES,1.40E+06,2015,12,Leasehold,52.0004
26 NEWTON,1.50E+06,2018,3,Freehold,52.0004
HILLSTA,676686,2014,12,Leasehold,53.0004
THE ANSLEY,731686,2010,3,Freehold,53.0004
CITIGATE RESIDENCE,828686,2017,3,Freehold,53.0004
MIRAGE TOWER,891686,2012,5,Freehold,53.0004
OKIO,940086,2013,6,Freehold,53.0004
STURDEE RESIDENCES,979386,2018,4,Leasehold,53.0004
MIRAGE TOWER,1.00E+06,2014,3,Freehold,53.0004
THE CASCADIA,1.10E+06,2014,4,Freehold,53.0004
VIVACE,1.40E+06,2015,4,Leasehold,53.0004
THE METZ,1.60E+06,2016,11,Freehold,53.0004
SUITES 123,651686,2010,7,Freehold,54.0004
SOLEIL @ SINARAN,805686,2009,9,Leasehold,54.0004
PINNACLE 16,893686,2012,12,Freehold,54.0004
PARC EMILY,953686,2011,11,Freehold,54.0004
WATERSCAPE AT CAVENAGH,1.10E+06,2012,3,Freehold,54.0004
THE BOUTIQ,1.50E+06,2013,6,Freehold,54.0004
THE HILLIER,759705,2014,2,Leasehold,55.0004
PARC EMILY,873685,2011,8,Freehold,55.0004
D'LEEDON,940285,2013,4,Leasehold,55.0004
MARTIN PLACE RESIDENCES,1.00E+06,2011,6,Freehold,55.0004
DUO RESIDENCES,1.20E+06,2015,12,Leasehold,55.0004
CAIRNHILL NINE,1.60E+06,2018,3,Leasehold,55.0004
KINGSFORD . HILLVIEW PEAK,775684,2017,8,Leasehold,56.0004
FORTE SUITES,1.10E+06,2017,7,Freehold,56.0004
SUITES @ NEWTON,1.40E+06,2013,12,Freehold,56.0004
SOL ACRES,593684,2018,2,Leasehold,57.0005
THE TENNERY,747196,2013,2,Leasehold,57.0005
ATTITUDE AT KIM YAM,783684,2011,5,Leasehold,57.0005
THE TENNERY,814476,2013,1,Leasehold,57.0005
THE HILLIER,843500,2014,2,Leasehold,57.0005
NOTTINGHILL SUITES,886784,2014,4,Freehold,57.0005
THE SKYWOODS,947984,2015,10,Leasehold,57.0005
NEWTON 18,1.10E+06,2009,8,Freehold,57.0005
THE OXLEY,1.20E+06,2013,9,Freehold,57.0005
L'VIV,1.30E+06,2012,3,Freehold,57.0005
THE SAIL @ MARINA BAY,1.50E+06,2016,6,Leasehold,57.0005
THE SAIL @ MARINA BAY,1.70E+06,2013,4,Leasehold,57.0005
LUCIDA,791283,2011,3,Freehold,58.0005
THE HILLIER,835043,2014,1,Leasehold,58.0005
THE HILLIER,876074,2014,2,Leasehold,58.0005
THE SKYWOODS,919393,2015,9,Leasehold,58.0005
THE HILLIER,996162,2014,1,Leasehold,58.0005
WHARTON VALE,1.20E+06,2016,9,Freehold,58.0005
THE SCOTTS TOWER,2.10E+06,2014,1,Leasehold,58.0005
SCOTTS SQUARE,2.60E+06,2009,8,Freehold,58.0005
MULBERRY TREE,846683,2011,5,Freehold,59.0005
LE SOMME,933683,2017,1,Freehold,59.0005
D'LEEDON,1.00E+06,2012,12,Leasehold,59.0005
D'LEEDON,1.10E+06,2013,7,Leasehold,59.0005
D'LEEDON,1.20E+06,2013,3,Leasehold,59.0005
THE SUITES AT CENTRAL,1.20E+06,2009,6,Freehold,59.0005
ROBIN RESIDENCES,1.50E+06,2018,4,Freehold,59.0005
URBAN LOFTS,718390,2010,9,Freehold,60.0005
D'LEEDON,1.00E+06,2012,12,Leasehold,60.0005
DUO RESIDENCES,1.40E+06,2015,12,Leasehold,60.0005
DUO RESIDENCES,1.60E+06,2016,1,Leasehold,60.0005
THE SCOTTS TOWER,2.20E+06,2014,1,Leasehold,60.0005
NOVENA HILL,861681,2013,3,Freehold,61.0005
ONE DUSUN RESIDENCES,1.00E+06,2014,9,Freehold,61.0005
GLOUCESTER MANSIONS,1.10E+06,2013,1,Freehold,61.0005
STURDEE RESIDENCES,1.20E+06,2018,4,Leasehold,61.0005
L'VIV,1.40E+06,2012,5,Freehold,61.0005
SUITES 123,721681,2010,7,Freehold,62.0005
PARC SOPHIA,845181,2011,4,Freehold,62.0005
ECO SANCTUARY,887591,2015,4,Leasehold,62.0005
HERTFORD COLLECTION,961681,2014,6,Freehold,62.0005
PARC SOPHIA,1.10E+06,2010,7,Freehold,62.0005
DUO RESIDENCES,1.30E+06,2015,12,Leasehold,62.0005
ESPADA,1.90E+06,2016,8,Freehold,62.0005
OXFORD SUITES,654180,2009,5,Freehold,63.0005
CITYLIGHTS,923680,2011,6,Leasehold,63.0005
THE HILLIER,998803,2014,3,Leasehold,63.0005
ROBERTSON 100,1.10E+06,2012,9,Freehold,63.0005
CITYLIGHTS,1.20E+06,2017,6,Leasehold,63.0005
THE SAIL @ MARINA BAY,1.40E+06,2014,10,Leasehold,63.0005
LIV ON SOPHIA,1.60E+06,2015,7,Freehold,63.0005
ASCENT @ 456,1.10E+06,2016,5,Freehold,64.0005
368 THOMSON,1.10E+06,2012,8,Freehold,64.0005
CITY GATE,1.30E+06,2016,8,Leasehold,64.0005
ADRIA,1.40E+06,2012,9,Freehold,64.0005
ESPADA,1.60E+06,2011,12,Freehold,64.0005
THE SAIL @ MARINA BAY,1.80E+06,2012,6,Leasehold,64.0005
ZEDGE,829679,2010,6,Freehold,65.0005
VISIONCREST,1.20E+06,2011,5,Freehold,65.0005
SOPHIA HILLS,1.30E+06,2017,6,Leasehold,65.0005
WATERSCAPE AT CAVENAGH,1.40E+06,2012,3,Freehold,65.0005
SKYPARK,1.50E+06,2009,4,Freehold,65.0005
NOVENA HILL,728678,2010,8,Freehold,66.0005
MACKENZIE 88,968812,2009,7,Freehold,66.0005
HILLION RESIDENCES,1.00E+06,2015,4,Leasehold,66.0005
HILLION RESIDENCES,1.00E+06,2015,4,Leasehold,66.0005
HILLION RESIDENCES,1.10E+06,2015,4,Leasehold,66.0005
DUO RESIDENCES,1.20E+06,2015,12,Leasehold,66.0005
CITY GATE,1.50E+06,2017,6,Leasehold,66.0005
RIVER PLACE,923678,2012,6,Leasehold,67.0005
RISING SUITES,1.10E+06,2009,12,Freehold,67.0005
ILLUMINAIRE ON DEVONSHIRE,1.30E+06,2011,5,Freehold,67.0005
ONE OXLEY RISE,1.50E+06,2009,7,Freehold,67.0005
ESPADA,2.00E+06,2016,5,Freehold,67.0005
PRISTINE HEIGHTS,849677,2009,9,Freehold,68.0005
ECO SANCTUARY,923977,2015,5,Leasehold,68.0005
ECO SANCTUARY,990217,2017,6,Leasehold,68.0005
VANADIUM,1.10E+06,2015,2,Freehold,68.0005
STEVENS SUITES,1.30E+06,2012,9,Freehold,68.0005
6 DERBYSHIRE,1.60E+06,2016,4,Freehold,68.0005
THE PARK VALE,840677,2011,12,Leasehold,69.0005
RIVER PLACE,1.10E+06,2012,12,Leasehold,69.0005
LUMA,1.30E+06,2011,6,Freehold,69.0005
HIGHLINE RESIDENCES,1.40E+06,2018,4,Leasehold,69.0005
CAIRNHILL NINE,1.90E+06,2018,3,Leasehold,69.0005
CAIRNHILL NINE,2.10E+06,2018,3,Leasehold,69.0005
CITY STUDIOS,723676,2011,3,Freehold,70.0005
ECO SANCTUARY,933426,2015,5,Leasehold,70.0005
THE PIER AT ROBERTSON,1.00E+06,2009,3,Freehold,70.0005
THE CREEK @ BUKIT,1.30E+06,2015,11,Freehold,70.0005
ONE OXLEY RISE,1.50E+06,2009,7,Freehold,70.0005
THE CAPRI,828675,2011,6,Freehold,71.0006
VALLEY PARK,1.00E+06,2011,10,Leasehold,71.0006
DUNEARN SUITES,1.30E+06,2012,8,Freehold,71.0006
TREE HOUSE,791275,2012,5,Leasehold,72.0006
NOVENA COURT,873675,2011,7,Freehold,72.0006
SANCTUARY GREEN,1.00E+06,2014,2,Leasehold,72.0006
UE SQUARE,1.20E+06,2013,12,Leasehold,72.0006
CITY GATE,1.50E+06,2017,8,Leasehold,72.0006
STARLIGHT SUITES,1.80E+06,2017,11,Freehold,72.0006
SHERWOOD TOWER,639674,2013,1,Leasehold,73.0006
RIVER PLACE,1.00E+06,2009,6,Leasehold,73.0006
KINGSFORD . HILLVIEW PEAK,1.20E+06,2016,4,Leasehold,73.0006
D'LEEDON,1.30E+06,2013,1,Leasehold,73.0006
D'LEEDON,1.60E+06,2015,3,Leasehold,73.0006
AMANINDA,793674,2009,5,Freehold,74.0006
MACKENZIE 138,1.10E+06,2014,3,Freehold,74.0006
WILKIE STUDIO,1.30E+06,2012,11,Freehold,74.0006
NEWTON SUITES,1.60E+06,2015,5,Freehold,74.0006
MAYSPRINGS,629673,2011,8,Leasehold,75.0006
MAYSPRINGS,798673,2014,6,Leasehold,75.0006
TANJONG RIA CONDOMINIUM,923673,2012,5,Leasehold,75.0006
DUCHESS MANOR,1.10E+06,2009,7,Leasehold,75.0006
DUCHESS MANOR,1.20E+06,2009,10,Leasehold,75.0006
THE LEVELZ,1.40E+06,2014,8,Freehold,75.0006
CONCOURSE SKYLINE,1.60E+06,2014,10,Leasehold,75.0006
MAYSPRINGS,603672,2011,8,Leasehold,76.0006
LAUREL TREE,793672,2016,7,Freehold,76.0006
VIZ AT HOLLAND,988672,2011,6,Freehold,76.0006
THE HILLIER,1.20E+06,2014,2,Leasehold,76.0006
CONCOURSE SKYLINE,1.30E+06,2011,6,Leasehold,76.0006
STEVENS SUITES,1.70E+06,2012,8,Freehold,76.0006
THE BOUTIQ,2.10E+06,2013,9,Freehold,76.0006
SANCTUARY GREEN,863672,2011,10,Leasehold,77.0006
KINGSFORD . HILLVIEW PEAK,1.10E+06,2018,1,Leasehold,77.0006
KINGSFORD . HILLVIEW PEAK,1.20E+06,2015,8,Leasehold,77.0006
CITY EDGE,1.40E+06,2018,1,Freehold,77.0006
ENG KONG GREEN,713671,2012,9,Freehold,78.0006
THE MEZZO,815771,2011,4,Freehold,78.0006
THE MEZZO,854671,2011,6,Freehold,78.0006
BURLINGTON SQUARE,1.00E+06,2012,9,Leasehold,78.0006
CITY SQUARE RESIDENCES,1.10E+06,2012,6,Freehold,78.0006
MERAPRIME,1.20E+06,2012,9,Leasehold,78.0006
CITY SQUARE RESIDENCES,1.30E+06,2013,4,Freehold,78.0006
THE SHELFORD,1.40E+06,2013,4,Freehold,78.0006
DUO RESIDENCES,1.80E+06,2015,12,Leasehold,78.0006
SOL ACRES,755671,2018,4,Leasehold,79.0006
PRISTINE HEIGHTS,903471,2009,6,Freehold,79.0006
WILKIE 48,988671,2010,2,Freehold,79.0006
MAPLEWOODS,1.10E+06,2012,9,Freehold,79.0006
PARK INFINIA AT WEE NAM,1.30E+06,2011,8,Freehold,79.0006
J C DRAYCOTT,1.60E+06,2009,4,Freehold,79.0006
STARLIGHT SUITES,1.90E+06,2017,8,Freehold,79.0006
THE SCOTTS TOWER,3.20E+06,2015,3,Leasehold,79.0006
GUILIN VIEW,678670,2012,5,Leasehold,80.0006
GUILIN VIEW,833670,2013,5,Leasehold,80.0006
GUILIN VIEW,888670,2014,6,Leasehold,80.0006
NOVENA COURT,961670,2012,9,Freehold,80.0006
THE TENNERY,1.00E+06,2013,1,Leasehold,80.0006
CITY SQUARE RESIDENCES,1.10E+06,2012,4,Freehold,80.0006
VIZ AT HOLLAND,1.20E+06,2011,8,Freehold,80.0006
VALLEY PARK,1.40E+06,2017,11,Leasehold,80.0006
THE SAIL @ MARINA BAY,1.60E+06,2011,10,Leasehold,80.0006
THE SAIL @ MARINA BAY,1.90E+06,2011,11,Leasehold,80.0006
SOL ACRES,791669,2017,8,Leasehold,81.0006
RIVER PLACE,1.10E+06,2011,12,Leasehold,81.0006
THE SKYWOODS,1.20E+06,2017,6,Leasehold,81.0006
THE SKYWOODS,1.20E+06,2016,5,Leasehold,81.0006
368 THOMSON,1.40E+06,2012,7,Freehold,81.0006
CONCOURSE SKYLINE,1.60E+06,2010,9,Leasehold,81.0006
THE BOUTIQ,2.20E+06,2014,10,Freehold,81.0006
TEXTILE CENTRE,654169,2011,11,Leasehold,82.0006
ROBIN REGALIA,901669,2009,2,Freehold,82.0006
THE TENNERY,1.00E+06,2013,1,Leasehold,82.0006
BURLINGTON SQUARE,1.30E+06,2013,7,Leasehold,82.0006
THE CASCADIA,1.40E+06,2012,8,Freehold,82.0006
THE CASCADIA,1.40E+06,2013,4,Freehold,82.0006
THE CASCADIA,1.50E+06,2013,1,Freehold,82.0006
THE BEAUMONT,2.00E+06,2012,3,Freehold,82.0006
THE LAURELS,2.60E+06,2012,3,Freehold,82.0006
CITYLIGHTS,680268,2009,1,Leasehold,83.0007
GLOUCESTER MANSIONS,943668,2009,1,Freehold,83.0007
FLORIDIAN,1.10E+06,2011,7,Freehold,83.0007
TIARA,1.30E+06,2011,7,Freehold,83.0007
PARK INFINIA AT WEE NAM,1.40E+06,2011,7,Freehold,83.0007
PARK INFINIA AT WEE NAM,1.50E+06,2009,7,Freehold,83.0007
THE SIENA,1.90E+06,2016,5,Leasehold,83.0007
SCOTTS SQUARE,4.10E+06,2013,5,Freehold,83.0007
HILLVIEW REGENCY,658668,2011,9,Leasehold,84.0007
MAYSPRINGS,783668,2014,2,Leasehold,84.0007
DOMUS,873668,2011,5,Freehold,84.0007
SOUTHAVEN I,941668,2017,11,Leasehold,84.0007
PARC MACKENZIE,1.10E+06,2011,8,Freehold,84.0007
TERRENE AT BUKIT TIMAH,1.20E+06,2012,7,Leasehold,84.0007
GAIA,1.40E+06,2014,10,Freehold,84.0007
CITYLIGHTS,1.60E+06,2013,11,Leasehold,84.0007
PARC EMILY,1.70E+06,2014,7,Freehold,84.0007
GILSTEAD TWO,1.80E+06,2012,7,Freehold,84.0007
LUMA,2.00E+06,2015,7,Freehold,84.0007
MAYSPRINGS,605667,2011,8,Leasehold,85.0007
MAYSPRINGS,828667,2013,10,Leasehold,85.0007
CENTRAL GREEN CONDOMINIUM,923667,2011,11,Leasehold,85.0007
HILLVISTA,1.10E+06,2009,12,Freehold,85.0007
TERRENE AT BUKIT TIMAH,1.20E+06,2012,8,Leasehold,85.0007
FLORIDIAN,1.30E+06,2011,7,Freehold,85.0007
VISIONCREST,1.50E+06,2009,2,Freehold,85.0007
CITY GATE,1.80E+06,2017,6,Leasehold,85.0007
THE VERMONT ON CAIRNHILL,2.40E+06,2012,4,Freehold,85.0007
HOLLAND HILL LODGE,723666,2009,2,Freehold,86.0007
SOL ACRES,785666,2017,10,Leasehold,86.0007
SOL ACRES,820666,2017,8,Leasehold,86.0007
PARKVIEW APARTMENTS,893666,2014,10,Leasehold,86.0007
SYMPHONY HEIGHTS,988666,2013,5,Freehold,86.0007
TANJONG RIA CONDOMINIUM,1.10E+06,2014,6,Leasehold,86.0007
CUBE 8,1.30E+06,2012,3,Freehold,86.0007
D' DALVEY,1.30E+06,2010,9,Freehold,86.0007
SUITES @ SURREY,1.50E+06,2017,1,Freehold,86.0007
DUKES RESIDENCE,1.60E+06,2017,4,Freehold,86.0007
THE INSPIRA,1.90E+06,2014,12,Freehold,86.0007
PARKVIEW APARTMENTS,713666,2012,8,Leasehold,87.0007
NOVA 48,893666,2011,2,Freehold,87.0007
DUCHESS CREST,1.10E+06,2012,7,Leasehold,87.0007
FLORIDIAN,1.30E+06,2011,8,Freehold,87.0007
DUCHESS CREST,1.50E+06,2015,1,Leasehold,87.0007
DUO RESIDENCES,1.70E+06,2015,12,Leasehold,87.0007
THE PIER AT ROBERTSON,1.90E+06,2013,1,Freehold,87.0007
THE RAINTREE,566565,2009,3,Leasehold,88.0007
SOL ACRES,796665,2017,8,Leasehold,88.0007
HARVEST MANSIONS,838665,2012,3,Leasehold,88.0007
PEBBLE BAY,928665,2011,7,Leasehold,88.0007
NINETEEN SHELFORD ROAD,1.10E+06,2009,6,Freehold,88.0007
THE SKYWOODS,1.20E+06,2017,9,Leasehold,88.0007
SUMMERHILL,1.30E+06,2014,10,Freehold,88.0007
THE NEXUS,1.40E+06,2014,5,Freehold,88.0007
DOMUS,1.50E+06,2015,2,Freehold,88.0007
VISIONCREST,1.90E+06,2012,11,Freehold,88.0007
SCOTTS SQUARE,3.70E+06,2009,10,Freehold,88.0007
PALM GARDENS,568665,2011,6,Leasehold,89.0007
WANDERVALE,753665,2018,3,Leasehold,89.0007
THE RAINFOREST,794665,2014,3,Leasehold,89.0007
WANDERVALE,815665,2018,3,Leasehold,89.0007
THE RAINFOREST,834835,2014,6,Leasehold,89.0007
WANDERVALE,874665,2018,3,Leasehold,89.0007
HILLVIEW HEIGHTS,983665,2013,6,Freehold,89.0007
PAVILION 11,1.10E+06,2009,4,Freehold,89.0007
PAVILION 11,1.20E+06,2012,4,Freehold,89.0007
THE SKYWOODS,1.30E+06,2018,4,Leasehold,89.0007
BELLERIVE,1.40E+06,2011,5,Freehold,89.0007
AMARYLLIS VILLE,1.40E+06,2014,2,Leasehold,89.0007
ADAM PARK CONDOMINIUM,1.50E+06,2016,9,Freehold,89.0007
THE LANAI,1.60E+06,2015,4,Leasehold,89.0007
PAVILION 11,1.70E+06,2013,6,Freehold,89.0007
J C DRAYCOTT,1.80E+06,2009,6,Freehold,89.0007
HIJAUAN,2.40E+06,2014,4,Freehold,89.0007
HILLVIEW 128,736664,2010,5,Leasehold,90.0007
BLOSSOM RESIDENCES,758664,2013,11,Leasehold,90.0007
BLOSSOM RESIDENCES,782664,2013,9,Leasehold,90.0007
HILLVIEW REGENCY,903664,2014,2,Leasehold,90.0007
THE SIXTH AVENUE RESIDENCES,1.10E+06,2009,1,Freehold,90.0007
RIVER PLACE,1.40E+06,2017,4,Leasehold,90.0007
LEONIE SUITES,1.60E+06,2016,12,Leasehold,90.0007
DUO RESIDENCES,1.80E+06,2015,12,Leasehold,90.0007
MARTIN NO 38,2.50E+06,2015,1,Freehold,90.0007
HILLVIEW GREEN,663663,2011,5,Leasehold,91.0007
HILLVIEW HEIGHTS,781663,2011,9,Freehold,91.0007
HAZEL PARK CONDOMINIUM,883663,2012,7,Leasehold,91.0007
IRESIDENCES,955663,2011,3,Freehold,91.0007
HILLSTA,1.00E+06,2014,5,Leasehold,91.0007
ECO SANCTUARY,1.10E+06,2014,12,Leasehold,91.0007
PARK INFINIA AT WEE NAM,1.20E+06,2011,3,Freehold,91.0007
SIGNATURE AT LEWIS,1.40E+06,2011,11,Freehold,91.0007
THE RIVERINE BY THE PARK,1.50E+06,2009,6,Freehold,91.0007
AMARYLLIS VILLE,1.60E+06,2016,6,Leasehold,91.0007
HOLLAND RESIDENCES,1.80E+06,2012,2,Freehold,91.0007
HILLINGTON GREEN,648663,2009,2,Leasehold,92.0007
BINJAI PARK,761663,2010,8,Leasehold,92.0007
MACKENZIE REGENCY,903663,2009,2,Freehold,92.0007
SANCTUARY GREEN,1.10E+06,2009,8,Leasehold,92.0007
PARC PALAIS,1.10E+06,2017,1,Freehold,92.0007
KERRISDALE,1.20E+06,2017,10,Leasehold,92.0007
ECO SANCTUARY,1.30E+06,2018,3,Leasehold,92.0007
TERRENE AT BUKIT TIMAH,1.30E+06,2012,8,Leasehold,92.0007
THE TESSARINA,1.40E+06,2009,8,Freehold,92.0007
NOVENA LODGE,1.50E+06,2015,12,Freehold,92.0007
CITYSCAPE @FARRER PARK,1.60E+06,2012,11,Freehold,92.0007
PARVIS,1.70E+06,2011,12,Freehold,92.0007
PARC EMILY,1.80E+06,2014,8,Freehold,92.0007
HALLMARK RESIDENCES,2.10E+06,2016,3,Freehold,92.0007
WATTEN ESTATE CONDOMINIUM,768662,2011,3,Freehold,93.0007
SOL ACRES,872662,2017,12,Leasehold,93.0007
ENG AUN MANSION,998662,2013,1,Freehold,93.0007
HILLSTA,1.20E+06,2014,10,Leasehold,93.0007
GAIA,1.40E+06,2014,7,Freehold,93.0007
PARK INFINIA AT WEE NAM,1.70E+06,2011,11,Freehold,93.0007
CYAN,2.00E+06,2011,11,Freehold,93.0007
KALLANG RIVERSIDE,2.20E+06,2016,7,Freehold,93.0007
DUO RESIDENCES,2.40E+06,2015,12,Leasehold,93.0007
CENTURY MANSIONS,573662,2009,1,Freehold,94.0007
CENTURY MANSIONS,941662,2013,8,Freehold,94.0007
THE STERLING,1.10E+06,2011,7,Freehold,94.0007
THE ANSLEY,1.20E+06,2011,7,Freehold,94.0007
COSTA RHU,1.30E+06,2010,2,Leasehold,94.0007
COSTA RHU,1.30E+06,2014,12,Leasehold,94.0007
THE ABODE AT DEVONSHIRE,1.50E+06,2011,12,Freehold,94.0007
SPRING GROVE,1.60E+06,2009,7,Leasehold,94.0007
SPRING GROVE,1.70E+06,2014,3,Leasehold,94.0007
ROCHELLE AT NEWTON,1.90E+06,2015,7,Leasehold,94.0007
URBANA,2.20E+06,2015,4,Freehold,94.0007
REGENT HEIGHTS,573661,2012,8,Leasehold,95.0007
REGENT HEIGHTS,663661,2011,6,Leasehold,95.0007
REGENT HEIGHTS,731661,2012,10,Leasehold,95.0007
REGENT HEIGHTS,788661,2012,7,Leasehold,95.0007
THE PETALS,873661,2012,5,Freehold,95.0007
REGENT HEIGHTS,916661,2017,5,Leasehold,95.0007
REGENT HEIGHTS,993661,2015,3,Leasehold,95.0007
THE TESSARINA,1.30E+06,2012,1,Freehold,95.0007
THE PIER AT ROBERTSON,1.70E+06,2009,8,Freehold,95.0007
RIVERGATE,2.20E+06,2012,8,Freehold,95.0007
CITYLIGHTS,753660,2013,3,Freehold,96.0008
SIGNATURE PARK,931660,2009,11,Freehold,96.0008
THE TESSARINA,1.10E+06,2009,4,Freehold,96.0008
THE TESSARINA,1.20E+06,2011,6,Freehold,96.0008
THE TESSARINA,1.30E+06,2009,8,Freehold,96.0008
ROBERTSON 100,1.50E+06,2010,8,Freehold,96.0008
D'LEEDON,1.60E+06,2013,9,Leasehold,96.0008
TRIBECA,1.80E+06,2013,8,Freehold,96.0008
LINCOLN SUITES,2.00E+06,2012,2,Freehold,96.0008
HILLVIEW 128,712460,2009,12,Leasehold,97.0008
SUFFOLK PREMIER,953660,2009,11,Freehold,97.0008
SIGNATURE PARK,1.10E+06,2017,12,Freehold,97.0008
THE SKYWOODS,1.30E+06,2017,11,Leasehold,97.0008
THE LANAI,1.40E+06,2012,10,Leasehold,97.0008
SUFFOLK PREMIER,1.50E+06,2012,12,Freehold,97.0008
URBANA,1.50E+06,2012,1,Freehold,97.0008
MARTIN PLACE RESIDENCES,1.70E+06,2011,6,Freehold,97.0008
LINCOLN SUITES,1.80E+06,2011,12,Freehold,97.0008
LINCOLN SUITES,1.90E+06,2012,1,Freehold,97.0008
LEEDON RESIDENCE,2.50E+06,2018,3,Freehold,97.0008
URBAN SUITES,2.90E+06,2016,12,Freehold,97.0008
BLOSSOM RESIDENCES,796659,2014,11,Leasehold,98.0008
BLOSSOM RESIDENCES,808659,2013,8,Leasehold,98.0008
BLOSSOM RESIDENCES,816659,2013,8,Leasehold,98.0008
